URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/jurisdiction,5.0.0,draft,"2.16.840.1.113883.4.642.3.48",JurisdictionValueSet,Jurisdiction ValueSet,"This value set defines a base set of codes for country, country subdivision and region    for indicating where a resource is intended to be used.             Note: The codes for countries and country subdivisions are taken from    [ISO 3166](https://www.iso.org/iso-3166-country-codes.html)    while the codes for ""supra-national"" regions are from    [UN Standard country or area codes for statistical use (M49)](http://unstats.un.org/unsd/methods/m49/m49.htm).","StructureDefinition/tk-api-instance,StructureDefinition/tk-api-specification-capability","Other"
http://hl7.org/fhir/ValueSet/languages,5.0.0,active,"2.16.840.1.113883.4.642.3.891,2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (see http://tools.ietf.org/html/bcp47)","StructureDefinition/tk-endpoint,StructureDefinition/tk-api-instance,StructureDefinition/tk-api-specification-capability,StructureDefinition/tk-provenance,StructureDefinition/tk-organization,StructureDefinition/IneraPatient,StructureDefinition/tk-administrator-role","Other"
http://hl7.org/fhir/ValueSet/link-type,5.0.0,active,"2.16.840.1.113883.4.642.2.234,2.16.840.1.113883.4.642.3.423,2.16.840.1.113883.4.642.3.412",LinkType,Link Type,"The type of link between this Patient resource and another Patient/RelatedPerson resource.","StructureDefinition/IneraPatient","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/marital-status,5.0.0,active,"2.16.840.1.113883.4.642.3.29",MaritalStatusCodes,Marital Status Codes,"This value set defines the set of codes that can be used to indicate the marital status of a person.","StructureDefinition/IneraPatient","THO (V3)"
http://hl7.org/fhir/ValueSet/message-transport,5.0.0,active,"2.16.840.1.113883.4.642.2.86,2.16.840.1.113883.4.642.3.184,2.16.840.1.113883.4.642.3.174",MessageTransport,Message Transport,"The protocol used for message transport.","StructureDefinition/tk-api-instance,StructureDefinition/tk-api-specification-capability","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/mimetypes,5.0.0,active,"2.16.840.1.113883.4.642.3.1024",MimeTypes,Mime Types,"This value set includes all possible codes from BCP-13 (see http://tools.ietf.org/html/bcp13)","StructureDefinition/tk-endpoint,StructureDefinition/tk-api-instance,StructureDefinition/tk-api-specification-capability","Other"
http://hl7.org/fhir/ValueSet/name-use,5.0.0,active,"2.16.840.1.113883.4.642.3.65",NameUse,NameUse,"The use of a human name.","StructureDefinition/IneraPatient","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/organization-type,5.0.0,draft,"2.16.840.1.113883.4.642.2.228,2.16.840.1.113883.4.642.3.414,2.16.840.1.113883.4.642.3.403",OrganizationType,Organization Type,"This example value set defines a set of codes that can be used to indicate a type of organization.","StructureDefinition/tk-organization","THO"
http://hl7.org/fhir/ValueSet/participation-role-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.54",ParticipationRoleType,Participation Role Type,"This FHIR value set is comprised of Actor participation Type codes, which can be used to value FHIR agents, actors, and other role elements. The codes are intended to express how the agent participated in some activity. Sometimes refered to the agent functional-role relative to the activity.","StructureDefinition/tk-provenance","THO,DICOM"
http://hl7.org/fhir/ValueSet/patient-contactrelationship,5.0.0,active,"2.16.840.1.113883.4.642.3.1130",PatientContactRelationship,Patient Contact Relationship ,"The nature of the relationship between the patient and the contact person.","StructureDefinition/IneraPatient","THO (V2)"
http://hl7.org/fhir/ValueSet/provenance-activity-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.429,2.16.840.1.113883.4.642.3.438",ProvenanceActivityType,ValueSet of sample of representative activity type codes.,"Some potential code systems are: - [v3-DocumentCompletion](http://terminology.hl7.org/3.0.0/CodeSystem-v3-DocumentCompletion.html) - [v3-DataOperation](http://terminology.hl7.org/3.0.0/CodeSystem-v3-DataOperation.html) - [v3-ActCode](http://hl7.org/fhir/v3/ActCode/cs.html) - [ISO Lifecycle](http://terminology.hl7.org/CodeSystem/iso-21089-lifecycle)","StructureDefinition/tk-provenance","THO"
http://hl7.org/fhir/ValueSet/provenance-entity-role,5.0.0,draft,"2.16.840.1.113883.4.642.3.436,2.16.840.1.113883.4.642.2.247,2.16.840.1.113883.4.642.3.427",ProvenanceEntityRole,Provenance Entity Role,"How an entity was used in an activity.","StructureDefinition/tk-provenance","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/publication-status,5.0.0,active,"2.16.840.1.113883.4.642.3.3",PublicationStatus,PublicationStatus,"The lifecycle status of an artifact.","StructureDefinition/tk-api-instance,StructureDefinition/tk-api-specification-capability","hl7.fhir.r5.core"
